,fips,Mean age,% under 20,% over 65
1886,36117,41.571649049564755,0.23345620891810268,0.18877686978148872
1887,36119,40.318827174528636,0.24531423752495835,0.1705311633175281
1888,36121,41.54728701509293,0.2078333541224897,0.1793189472371211
1889,36123,41.017551628356344,0.25164043315486495,0.20820417857574172
1890,37001,39.38370905332981,0.26062270181931796,0.1689958903121921
1891,37003,42.08901560784944,0.22003587395925361,0.20049259764945251
1892,37005,46.30812651196129,0.18985753964698504,0.2708538661410268
1893,37007,41.008763114523454,0.2171483699803031,0.1846685693612574
1894,37009,45.54985429193257,0.1946586004647903,0.2569995204544616
1895,37011,43.91579548700371,0.1782919165952585,0.22227934875749786
1896,37013,43.719832621763416,0.22241339025892648,0.23961851356231015
1897,37015,44.09271523178808,0.1939976873751708,0.23015873015873015
1898,37017,42.70970171738475,0.2255799939740886,0.21834890027116602
1899,37019,48.31193324752823,0.1675832212016615,0.31496811560287835
1900,37021,42.045842772951296,0.2059065313794128,0.20002856007070546
1901,37023,42.46436237303888,0.21659179925206345,0.20240755902723995
1902,37025,37.262706892146376,0.2801241589461631,0.1322406336648655
1903,37027,42.16165014811835,0.2223725755525485,0.19873459386314596
1904,37029,40.38001867413632,0.2488328664799253,0.16339869281045752
1905,37031,45.36183188539209,0.19341522351993556,0.24974109659973534
1906,37033,43.37518724116662,0.2064499074808353,0.21504097277293155
1907,37035,40.38777323954315,0.2453924312331392,0.17861104808007464
1908,37037,44.273588646276266,0.22056631892697467,0.2441515470542392
1909,37039,47.20691963499278,0.18479371454744037,0.2958461050628898
1910,37041,44.08068999928719,0.22218262171216765,0.24634685294746597
1911,37043,47.60283687943262,0.189873417721519,0.31097944160158003
